nama,website,sumber,catatan
3 Bisnis Center Karawang,https://3bisniscenter.com/,osm-industrial,Karawang
Acibadem,https://acibademinternational.com,osm-company,
Agel Langgeng,https://kapalapiglobal.com/agel/?lang=id,osm-industrial,Karawang
Alcott Semarang,https://alcott-smg.com,osm-it,Semarang
Alguntal,https://alguntal.xyz,osm-company,
Asahimas Flat Glass (Flat Glass),https://amfg.co.id/,osm-industrial,Karawang
AturKuliner,aturkuliner.id,osm-it,Bandung
B. Braun Pharmaceutical Industries Indoensia,https://www.bbraun.co.id/,osm-industrial,Karawang
Badan Riset dan Inovasi Nasional (BRIN),https://brin.go.id/,osm-research,Bandung
Balai Besar Kalibrasi Fasilitas Penerbangan,https://flightcalibration.co.id/,osm-industrial,Tangerang
Balai Besar Pengembangan Mekanisasi Pertanian,https://mekanisasi.litbang.pertanian.go.id/,osm-industrial,Tangerang
Bali Wedding Easy,https://baliweddingeasy.com/,osm-company,Denpasar
Bali Wedding Story - Why Imaging,https://baliweddingstory.com/,osm-company,Denpasar
Bamboomedia Software,https://www.bamboomedia.net/,osm-it,Denpasar
Bayer Indonesia,https://www.bayer.com/id/id/indonesia-profil-organisasi,osm-industrial,Depok
Biasa Factory,https://biasagroup.com/,osm-works,Denpasar
Biznet Networks,https://biz.net.id,osm-telecommunication,Jakarta
CCTV Karawang - PT Wedang Net Digital,https://www.wedang.net,osm-it,Karawang
CV. Teknodaeng Multi Sarana (Teknodaeng),http://teknodaeng.co.id,osm-company,Makassar
Chroma Wedding,https://chromawedding.com/,osm-company,Denpasar
Cikarang Dry Port Office,https://cikarangdryport.com/,osm-company,Cikarang
Dattabot,https://dattabot.io/,osm-company,
Dexagroup,www.dexa-medica.com,osm-warehouse,Denpasar
Digital Marketing Tangerang Selatan (Groundwork People),https://groundworkpeople.com,osm-advertising_agency,
Dimensi Logistic,https://dimensilogistic.co.id,osm-company,
Dunex Logistics,https://www.dunextr.com/,osm-industrial,Jakarta
Dynaplast DP06 Cikarang,https://www.dynapackasia.com,osm-works,Cikarang
D~Net Internet Service Provider,https://dnetprovider.id/,osm-it,Surabaya
EST Jakarta,https://estjakarta.com/,osm-company,
EasyGO GPS,https://www.easygo-gps.co.id/,osm-company,
Exito Bali,https://www.exitobali.com/,osm-it,Denpasar
F/F Entertainment,https://www.facebook.com/festivefileds/,osm-consulting,
First Media,https://www.firstmedia.com/,osm-telecommunication,Surabaya
GT Tech Park Karawang,https://directorsdirectory.com/gt-tech-park-bintang-puspita-dwikarya/,osm-industrial,Karawang
GoJek HQ,https://www.go-jek.com/blog/bali/,osm-company,Denpasar
Grafika Pariwara | PT. GRAFIKA PARIWARA KUSUMAH,https://grafikapariwara.com,osm-advertising_agency,Bandung
Greenland International Industrial Center,https://directorsdirectory.com/greenland-international-industrial-center/,osm-industrial,Karawang
Gudang Billboard,https://billboard.mikkaintermedia.co.id/,osm-advertising_agency,
Head Office PT. Solomon Indo Global,https://solomonindoglobal.id/,osm-company,Surabaya
Hexa Conservation Indonesia,https://hexaconservation.com,osm-company,
Hijrahfood Meatshop - Tanjung Duren,https://www.hijrahfood.co.id/,osm-industrial,Jakarta
Hino Motors Manufacturing Indonesia,https://www.hino.co.id/,osm-industrial,Karawang
Hyperspeed Semarang,https://hyperspeed.business.site/,osm-warehouse,Semarang
Independent Research & Advisory Indonesia,http://iraigeospasial.com,osm-research,Jakarta
Izatta Wedding Organiser,http://www.baliizattawedding.com/,osm-company,Denpasar
Jasa Pengaspalan - Aspalin Construction,https://www.aspalin.com/jasa-pengaspalan-jalan/,osm-company,
Johnson Health Tech Indonesia,www.johnsonhealthtech.id,osm-company,
Kamadjaja Logistics,https://www.kamadjaja.com/,osm-warehouse,Denpasar
Kantor CV. Arindra Production,https://www.arindraproduction.co.id/,osm-company,Surabaya
Kantor Maxim Indonesia - Depok,https://id.taximaxim.com,osm-company,Depok
Kantor Pemasaran Kota Harapan Indah,https://www.damaiputra.com,osm-advertising_agency,Bekasi
Kantor Pendaftaran MNC Play Surabaya,https://mncplaysurabaya.business.site/,osm-telecommunication,Sidoarjo
Kantor STO Telkom Sawangan,https://www.telkom.co.id/,osm-it,Depok
Karamel Kreativindo Digital Internasional,karamelkreativindo.com,osm-consulting,
Karawang New Industry City,https://directorsdirectory.com/karawang-new-industry-city/,osm-industrial,Karawang
Kimberly-Clark Softex Sidoarjo Mill,https://www.softexindonesia.com/,osm-company,Sidoarjo
Komputermu,https://komputermu.com,osm-it,Surabaya
Kredivo Operations Office,https://www.kredivo.id/,osm-company,
LTI Express,https://ltiexpress.id/,osm-company,Surabaya
Lembaga Penelitian dan Pengabdian Masyarakat (LPPM UNNES),https://unnes.ac.id/lppm,osm-research,Semarang
Limajari Cargo,https://limajaricargo.com/find-us/,osm-warehouse,Denpasar
MAXIM - Kantor Mitra Bandung,https://id.taximaxim.com/en/7831-bandung/contacts/,osm-company,Bandung
MAXIM - Kantor Mitra Bekasi,https://id.taximaxim.com/en/9408-bekasi/contacts/,osm-company,Bekasi
Mandiri Sekuritas Medan,https://most.co.id/,osm-financial,Medan
Marunda Center,https://directorsdirectory.com/marunda-center/,osm-industrial,Jakarta
McKinsey & Company,https://www.mckinsey.com/id,osm-consulting,
Miindonews,https://miindonews.co.id/,osm-it,Jakarta
Minanga group,http://minanga.co.id,osm-company,
"Mitra Manunggal Mandiri, PT.",https://mitramanunggal.com/,osm-company,Bekasi
Moduit Digital Indonesia,https://moduit.id,osm-company,Bandung
Monex Investindo Futures,https://www.mifx.com/,osm-financial,Denpasar
Nazaridev,https://nazaridev.vercel.app,osm-it,Semarang
Ngobas,https://ngobas.com/,osm-company,
Noxindo Cakrawala,powercableindonesia.com,osm-company,Bekasi
Office TakeGo,https://takego.id,osm-it,Makassar
Olah Data Semarang,https://olah-data-semarang.business.site/,osm-it,Semarang
OmiqloBadut,http://omiqlobadut.wordpres.com,osm-company,
Optibis,https://optibis.id,osm-company,Bandung
Opticore Technology,https://opticore.tech,osm-it,Bandung
PLN Distribusi Jakarta Raya,https://www.pln.co.id/,osm-company,
PT Adhi Commuter Properti,https://www.lrtcity.com/,osm-company,
