company_name,address,phone,website,legitimacy_score,division_score,dist_model,field_sales,scale,industry_fit,need_notes
Wings Group,"Jl. Tipar Cakung Kav. F5-7, Cakung Barat, Jakarta Timur 13910",021 4602696,wingscorp.com,70,80,35,30,20,15,FMCG raksasa; distribusi nasional ke warung/ritel; sales lapangan masif; arketipe klien Salesmart
Mayora Indah,"Gedung Mayora, Jl. Tomang Raya Kav 21-23, Jakarta Barat 11440",+62 21 806 377 04,mayoraindah.co.id,70,80,35,30,20,15,FMCG manufaktur; 6 divisi produk; jaringan distributor nasional; sales lapangan struktural
Kalbe Farma,"Gedung KALBE, Jl. Let. Jend. Suprapto Kav. 4, Cempaka Putih, Jakarta 10510",+62 21 4287 3888,kalbe.co.id,70,80,35,30,20,15,Farmasi terbesar SEA; medical representative = sales lapangan klasik; distribusi via Enseval
Paragon Technology and Innovation,"Jl. Swadharma Raya, Kampung Baru III No. 60, Jakarta Selatan 12250",+62 21 584 9070,paragon-innovation.com,55,80,35,30,20,15,Kosmetik manufaktur (Wardah); beauty advisor + distributor; telepon dari job-board BELUM terverifikasi resmi
Sido Muncul,"Office Sido Muncul Lt. 1, Gedung Hotel Tentrem, Jl. Gajahmada No. 123, Semarang 50134",+62 24 7692 8811,sidomuncul.co.id,70,85,35,30,20,15,Jamu/herbal manufaktur; distribusi nasional; MARKETING OFFICE terpisah ditemukan di Jakarta
MS Glow,"Jl. Komud ABD. Saleh No.58, Krajan, Asrikaton, Pakis, Malang 65154",(0341) 3022614,msglowid.com,70,75,35,20,15,15,Program agen/reseller aktif; Point Reward sangat relevan; email PR resmi ditemukan
Indomaret,"Menara Indomaret, Jl. Pantai Indah Kapuk Boulevard, Kamal Muara, Penjaringan, Jakarta Utara 14470",NOT_FOUND,indomaret.co.id,55,80,35,20,20,10,Jaringan waralaba masif; manajemen distribusi ke ribuan gerai; TELEPON BELUM DITEMUKAN
Alfamart,"Jl. M.H. Thamrin No. 9, Cikokol, Tangerang, Banten 15117",1500 959,alfamart.co.id,60,80,35,20,20,10,Jaringan waralaba masif; telepon 1500-style call center bukan direct line
J&T Express,"Landmark Pluit Tower B Lt. 8-10, Jl. Pluit Selatan Raya No.2, Jakarta Utara 14440",+62 21 8066 1888,jet.co.id,70,80,35,20,20,10,Jaringan agen/drop point luas; operasi lapangan kurir; distribusi terdesentralisasi
SiCepat,"Jl. Daan Mogot 2 No. 100 M-N, Kebon Jeruk, Jakarta Barat",+62 21 5663 017,sicepat.com,70,80,35,20,20,10,Jaringan agen luas; operasi lapangan kurir
JNE,"Jl. Tomang Raya No. 11, Grogol Petamburan, Jakarta Barat 11440",+62 21 2927 8888,jne.co.id,70,75,35,20,20,10,"Jaringan agen nasional; nomor adalah contact center, office line 021-566-5262 juga ada"
TIKI,"Jl. Raden Saleh Raya No. 2, Jakarta Pusat 10430",1500 125,tiki.id,60,75,35,20,20,10,Jaringan agen nasional; 1500-style call center bukan direct line
Wahana Ekspedisi,"Jl. Rempoa Raya No. 88, Ciputat, Tangerang Selatan, Banten 15412",+62 21 7341 688,wahana.com,60,60,35,20,15,10,Kurir skala menengah dengan jaringan agen; jejak web tipis; kasus uji diskriminasi rubric
Erajaya,"Erajaya Plaza, Jl. Bandengan Selatan No.19-20, Pekojan, Jakarta Barat 11240",+62 21 690 5788,erajaya.com,72,75,25,20,20,10,1.126 outlet ritel; distributor resmi gadget; telepon DIRECT LINE dari halaman resmi - kualitas data terbaik
Gojek,"Pasaraya Blok M Gedung B Lt. 6, Jl. Iskandarsyah II No.7, Kebayoran Baru, Jakarta Selatan 12160",+62 21 5084 9000,gojek.com,70,85,15,30,20,5,Tim akuisisi merchant GoFood = canvassing lapangan nyata; tapi bukan distribusi barang fisik
Kopi Kenangan,"Plaza Blok M lt.7, Jl. Bulungan No.76, Kramat Pela, Jakarta Selatan 12130",NOT_FOUND,kopikenangan.com,50,80,15,10,20,10,900+ outlet TAPI milik sendiri bukan jaringan distributor; telepon beredar terlihat dummy - tidak dipakai
Blibli,"Gedung Sarana Jaya, Jl. Budi Kemuliaan I No.1, Gambir, Jakarta Pusat 10110",0804-1-871-871,blibli.com,65,85,0,10,20,10,Platform e-commerce; akuisisi seller mayoritas digital bukan lapangan; telepon call-center
Blue Bird Group,"Jl. Mampang Prapatan Raya No. 60, Jakarta Selatan 12790",+62 21 7989 000,bluebirdgroup.com,70,80,0,10,20,5,Operasi armada bukan distribusi produk; sales korporat kemungkinan inside sales
Tokopedia,"Millenium Centennial Center Lt. 28, Jl. Jend. Sudirman Kav. 25, Karet, Setiabudi, Jakarta Selatan 12920",+62 21 5369 1015,tokopedia.com,70,85,0,10,20,5,Marketplace murni digital; akuisisi seller lewat platform bukan lapangan
Traveloka,"Wisma 77 Tower 2, Jl. S. Parman Kav. 77, Jakarta Barat 11410",0804-1500-308,traveloka.com,60,80,0,0,20,5,OTA murni digital; TIDAK ADA operasi sales lapangan sama sekali; telepon 1500-style call center
